State,pct_union
Alabama,73.0
Alaska,86.0
Arizona,31.0
Arkansas,26.1
California,90.7
Colorado,57.2
Connecticut,97.0
Delaware,89.2
District of Columbia,NA
Florida,52.5
Georgia,51.3
Hawaii,96.6
Idaho,49.9
Illinois,96.3
Indiana,65.4
Iowa,71.0
Kansas,51.2
Kentucky,56.7
Louisiana,51.6
Maine,77.6
Maryland,NA
Massachusetts,92.5
Michigan,84.7
Minnesota,92.5
Mississippi,33.9
Missouri,74.1
Montana,86.3
Nebraska,77.0
Nevada,57.6
New Hampshire,84.1
New Jersey,95.7
New Mexico,43.4
New York,97.4
North Carolina,19.9
North Dakota,73.6
Ohio,91.7
Oklahoma,59.4
Oregon,93.1
Pennsylvania,92.2
Rhode Island,88.9
South Carolina,23.0
South Dakota,41.8
Tennessee,43.5
Texas,51.4
Utah,46.9
Vermont,93.6
Virginia,43.3
Washington,96.7
West Virginia,73.9
Wisconsin,48.0
Wyoming,49.7